description,name,number_availability,price,review,sold_by
No,صابونة الليفة الكبيرة لافندر,Only 1 left,EGP 90,0 Review(s),mk 5020
صلصال حراري,ميدالية سيراميك,Only 4 left,EGP 80,0 Review(s),mk 4028
معدن,سلسلة بدلاية معدن أوكسيدية 119,Only 12 left,EGP 65,0 Review(s),mk 5013
خشب,حامل تابليت,Only 4 left,EGP 220,0 Review(s),mk 5014
كروشيه,طارة  14,Only 5 left,EGP 350,0 Review(s),mk 5022
ورق,مجموعة  حصاله  وراقية (4),Only 5 left,EGP 35,0 Review(s),mk 5072
قماش,لعبة  من الجوخ,Only 2 left,EGP 50,0 Review(s),MK 1140
سيراميك,ميدالية سيراميك,Only 4 left,EGP 50,0 Review(s),mk 4028
خشب,ميدالية String Art,Only 1 left,EGP 35,0 Review(s),mk 5049
ورق,كتاب الزواج,Only 5 left,EGP 200,0 Review(s),mk 4070
كروشيه,حقيبة كروس-كروشيه 8,Only 1 left,EGP 225,0 Review(s),hoba sybm
خشب,ميدالية خشب,Only 6 left,EGP 30,0 Review(s),MK 3940
No,سبحة 15,Only 1 left,EGP 80,0 Review(s),sam 4015
كروشيه,باسكت من خيوط القيطان,Only 1 left,EGP 220,0 Review(s),mk  4048
قماش,غطاء للعين 10,Only 1 left,EGP 60,0 Review(s),MK 1150
صلصال حراري,ميدالية صلصال حراري,Only 1 left,EGP 99,0 Review(s),MK 3049
قماش,ديكور خيوط ماندلا,Only 3 left,EGP 135,0 Review(s),MK 4039
نحاس,سلسلة بدلاية معدن أوكسيدية 106,Only 3 left,EGP 155,0 Review(s),mk 5028
No,بوكس قهوتك-إلي معلمتي,Only 2 left,EGP 375,0 Review(s),MK 3079
قماش,وساده قماش مطبوع,Only 1 left,EGP 250,0 Review(s),mk 4000
نحاس,سلسلة بدلاية معدن أوكسيدية 104,Only 1 left,EGP 70,0 Review(s),Mariam Talha
نحاس,سلسلة بدلاية معدن أوكسيدية 94,Only 1 left,EGP 65,0 Review(s),mk 5013
ورق,كتاب للذكريات 5,Only 1 left,EGP 150,0 Review(s),
نحاس,سلسلة بدلاية معدن أوكسيدية 110,Only 2 left,EGP 80,0 Review(s),mk 5013
سيراميك,مج صلصال حراري,Only 1 left,EGP 240,0 Review(s),MK 4032
كروشيه,حقيبة كروس-مكرمية 2,Only 1 left,EGP 300,0 Review(s),mk 4047
صلصال حراري,سلسلة صلصال حراري,Only 4 left,EGP 75,0 Review(s),MK 3590
